vgg11,100,32,10.30135155
vgg19,29,2,7.042646408
vgg19,43,2,4.398584366
vgg19,57,2,3.738641739
vgg19,100,2,2.63428688
vgg19,29,4,11.42907143
vgg19,43,4,7.346391678
vgg19,57,4,5.782365799
vgg19,100,4,3.905296326
vgg19,29,8,19.65546608
vgg19,43,8,12.4938488
vgg19,57,8,10.3559494
vgg19,100,8,6.176948547
vgg19,29,16,36.20576859
vgg19,43,16,23.17595482
vgg19,57,16,18.54228973
vgg19,100,16,11.52944565
vgg19,29,32,69.60964203
vgg19,43,32,43.11203957
vgg19,57,32,35.54034233
vgg19,100,32,21.71182632
whisper,29,2,662.5006199
whisper,43,2,520.9898949
whisper,57,2,460.8991146
whisper,100,2,392.0171261
whisper,29,4,1136.922598
whisper,43,4,884.427309
whisper,57,4,754.7562122
whisper,100,4,611.7651463
whisper,29,8,2160.346985
whisper,43,8,1620.956659
whisper,57,8,1360.811949
whisper,100,8,1071.289063
whisper,29,16,4091.480494
whisper,43,16,3078.962088
whisper,57,16,2604.287863
whisper,100,16,1975.081682
whisper,29,32,7974.669218
whisper,43,32,5974.705696
whisper,57,32,4973.064423
whisper,100,32,3850.672722
